userId,fieldId,fieldName,fieldVaule
ff3b4756477b11c227a9fe391027065e700b5bf497e0d5b2bbf3b17b55aa952a,1,STORAGE,1
ff3b4756477b11c227a9fe391027065e700b5bf497e0d5b2bbf3b17b55aa952a,2,LOCATION,1
ff3b4756477b11c227a9fe391027065e700b5bf497e0d5b2bbf3b17b55aa952a,3,CALL_LOG,1
ff3b4756477b11c227a9fe391027065e700b5bf497e0d5b2bbf3b17b55aa952a,4,APP_USAGE,1
ff3b4756477b11c227a9fe391027065e700b5bf497e0d5b2bbf3b17b55aa952a,5,NOTIFICATION,1
ff3b4756477b11c227a9fe391027065e700b5bf497e0d5b2bbf3b17b55aa952a,6,general,1
ff3b4756477b11c227a9fe391027065e700b5bf497e0d5b2bbf3b17b55aa952a,7,gender,1
ff3b4756477b11c227a9fe391027065e700b5bf497e0d5b2bbf3b17b55aa952a,8,age,46
ff3b4756477b11c227a9fe391027065e700b5bf497e0d5b2bbf3b17b55aa952a,9,education,2
ff3b4756477b11c227a9fe391027065e700b5bf497e0d5b2bbf3b17b55aa952a,10,bfi2,1
1f5bd16268550404574c94496b1d3ba31798e54ccce5e3802947a4afd6378744,1,STORAGE,0
1f5bd16268550404574c94496b1d3ba31798e54ccce5e3802947a4afd6378744,2,LOCATION,1
1f5bd16268550404574c94496b1d3ba31798e54ccce5e3802947a4afd6378744,3,CALL_LOG,1
1f5bd16268550404574c94496b1d3ba31798e54ccce5e3802947a4afd6378744,4,APP_USAGE,0
1f5bd16268550404574c94496b1d3ba31798e54ccce5e3802947a4afd6378744,5,NOTIFICATION,0
1f5bd16268550404574c94496b1d3ba31798e54ccce5e3802947a4afd6378744,6,general,0
1f5bd16268550404574c94496b1d3ba31798e54ccce5e3802947a4afd6378744,7,gender,
1f5bd16268550404574c94496b1d3ba31798e54ccce5e3802947a4afd6378744,8,age,
1f5bd16268550404574c94496b1d3ba31798e54ccce5e3802947a4afd6378744,9,education,
1f5bd16268550404574c94496b1d3ba31798e54ccce5e3802947a4afd6378744,10,bfi2,0
eb885fe93ad8d7fdec68d2b99b02f8276ff8c8c3cf3350d344640efd9858ed9d,1,STORAGE,0
eb885fe93ad8d7fdec68d2b99b02f8276ff8c8c3cf3350d344640efd9858ed9d,2,LOCATION,1
eb885fe93ad8d7fdec68d2b99b02f8276ff8c8c3cf3350d344640efd9858ed9d,3,CALL_LOG,1
eb885fe93ad8d7fdec68d2b99b02f8276ff8c8c3cf3350d344640efd9858ed9d,4,APP_USAGE,0
eb885fe93ad8d7fdec68d2b99b02f8276ff8c8c3cf3350d344640efd9858ed9d,5,NOTIFICATION,0
eb885fe93ad8d7fdec68d2b99b02f8276ff8c8c3cf3350d344640efd9858ed9d,6,general,1
eb885fe93ad8d7fdec68d2b99b02f8276ff8c8c3cf3350d344640efd9858ed9d,7,gender,1
eb885fe93ad8d7fdec68d2b99b02f8276ff8c8c3cf3350d344640efd9858ed9d,8,age,43
eb885fe93ad8d7fdec68d2b99b02f8276ff8c8c3cf3350d344640efd9858ed9d,9,education,3
eb885fe93ad8d7fdec68d2b99b02f8276ff8c8c3cf3350d344640efd9858ed9d,10,bfi2,1
694721dfc6365fdb034b7732eab5a52a45305ed42281ad51e7a2e0f9df3f240b,1,STORAGE,0
694721dfc6365fdb034b7732eab5a52a45305ed42281ad51e7a2e0f9df3f240b,2,LOCATION,1
694721dfc6365fdb034b7732eab5a52a45305ed42281ad51e7a2e0f9df3f240b,3,CALL_LOG,1
694721dfc6365fdb034b7732eab5a52a45305ed42281ad51e7a2e0f9df3f240b,4,APP_USAGE,1
694721dfc6365fdb034b7732eab5a52a45305ed42281ad51e7a2e0f9df3f240b,5,NOTIFICATION,0
694721dfc6365fdb034b7732eab5a52a45305ed42281ad51e7a2e0f9df3f240b,6,general,1
694721dfc6365fdb034b7732eab5a52a45305ed42281ad51e7a2e0f9df3f240b,7,gender,1
694721dfc6365fdb034b7732eab5a52a45305ed42281ad51e7a2e0f9df3f240b,8,age,31
694721dfc6365fdb034b7732eab5a52a45305ed42281ad51e7a2e0f9df3f240b,9,education,3
694721dfc6365fdb034b7732eab5a52a45305ed42281ad51e7a2e0f9df3f240b,10,bfi2,1
75bdbb4550d0a295749ff57e3bf9455bbb3806362950cd321f9e253cdbe7622f,1,STORAGE,1
